Country,COUNTY_NAM,OBJECTID,REGISTERED VOTERS,UHURU KENYATTA,RAILA ODINGA,MUSALIA MUDAVADI,Others,TOTAL VALID VOTES,REJECTED BALLOTS,Winner
Kenya,MOMBASA,2,"408,747","64,793","189,985","4,500","10,036","269,314","3,004",RAILA ODINGA
Kenya,KWALE,3,"174,443","17,633","101,407","1,492","4,094","124,626",975,RAILA ODINGA
Kenya,KILIFI,4,"336,132","23,386","182,708","2,397","7,301","215,792","2,382",RAILA ODINGA
Kenya,TANA RIVER,5,"79,454","22,419","39,666",457,"1,538","64,080",509,RAILA ODINGA
Kenya,LAMU,6,"52,346","17,677","22,962",688,"2,207","43,534",637,RAILA ODINGA
Kenya,TAITA TAVETA,7,"113,862","12,175","75,329","1,030","2,799","91,333","1,023",RAILA ODINGA
Kenya,GARISSA,8,"115,202","41,672","44,724",384,"4,602","91,382",518,RAILA ODINGA
Kenya,WAJIR,9,"118,091","38,927","49,712",389,"10,667","99,695",544,RAILA ODINGA
Kenya,MANDERA,10,"120,768","94,433","4,366",61,"2,411","101,271",346,UHURU KENYATTA
Kenya,MARSABIT,11,"104,615","42,406","43,843",296,"3,016","89,561",321,RAILA ODINGA
Kenya,ISIOLO,12,"54,462","26,401","14,108",146,"6,703","47,358",288,UHURU KENYATTA
Kenya,MERU,13,"487,265","384,290","32,447","1,364","7,293","425,394","4,425",UHURU KENYATTA
Kenya,THARAKA - NITHI,14,"155,487","128,397","7,120",347,"2,078","137,942","1,042",UHURU KENYATTA
Kenya,EMBU,15,"227,286","177,676","15,912",682,"3,648","197,918","1,727",UHURU KENYATTA
Kenya,KITUI,16,"324,673","40,752","219,588","4,234","8,901","273,475","2,629",RAILA ODINGA
Kenya,MACHAKOS,17,"445,096","35,660","319,594","3,277","8,707","367,238","4,840",RAILA ODINGA
Kenya,MAKUENI,34,"298,221","12,652","228,843","2,456","6,097","250,048","2,175",RAILA ODINGA
Kenya,NYANDARUA,18,"255,984","232,808","2,889",498,"1,780","237,975","1,772",UHURU KENYATTA
Kenya,NYERI,19,"356,381","318,880","5,638",641,"3,400","328,559","2,465",UHURU KENYATTA
Kenya,KIRINYAGA,20,"265,290","231,868","3,471",353,"4,189","239,881","1,667",UHURU KENYATTA
Kenya,MURANG'A,21,"452,841","406,334","10,312",601,"4,036","421,283","2,352",UHURU KENYATTA
Kenya,KIAMBU,22,"861,829","705,185","61,700","2,191","7,596","776,672","5,063",UHURU KENYATTA
Kenya,TURKANA,23,"132,885","30,235","68,402",533,"1,706","100,876",408,RAILA ODINGA
Kenya,WEST POKOT,24,"120,986","79,772","24,962","1,378","1,950","108,062",721,UHURU KENYATTA
Kenya,SAMBURU,25,"61,114","22,085","31,086",122,479,"53,772",177,RAILA ODINGA
Kenya,TRANS NZOIA,47,"244,640","74,466","92,035","24,762","4,023","195,286","4,661",RAILA ODINGA
Kenya,UASIN GISHU,26,"330,630","211,438","60,060","7,208","3,156","281,862","2,866",UHURU KENYATTA
Kenya,ELEGEYO-MARAKWET,27,"94,003","79,706","3,831",422,"1,514","85,473",596,UHURU KENYATTA
Kenya,NANDI,28,"263,254","192,587","20,549","17,497","3,375","234,008","2,234",UHURU KENYATTA
Kenya,BARINGO,29,"173,653","138,488","14,824","1,201","1,836","156,349","1,145",UHURU KENYATTA
Kenya,LAIKIPIA,30,"173,905","134,111","19,702",492,"1,761","156,066",802,UHURU KENYATTA
Kenya,NAKURU,31,"695,318","494,239","105,660","4,901","6,003","610,803","5,515",UHURU KENYATTA
Kenya,NAROK,32,"262,738","109,413","118,623",964,"5,258","234,258","1,648",RAILA ODINGA
Kenya,KAJIADO,33,"304,346","138,851","117,856","1,636","4,787","263,130","2,055",UHURU KENYATTA
Kenya,KERICHO,35,"290,458","238,556","17,326","1,851","3,240","260,973","1,929",UHURU KENYATTA
Kenya,BOMET,44,"252,358","210,501","10,463","1,092","3,657","225,713","1,402",UHURU KENYATTA
Kenya,KAKAMEGA,36,"567,460","12,469","303,120","144,962","7,232","467,783","6,996",RAILA ODINGA
Kenya,VIHIGA,37,"202,822","2,542","77,825","82,426","2,701","165,494","2,079",MUSALIA MUDAVADI
Kenya,BUNGOMA,38,"410,462","42,988","185,419","107,868","9,424","345,699","5,306",RAILA ODINGA
Kenya,BUSIA,39,"251,305","8,186","189,161","18,608","2,701","218,656","2,272",RAILA ODINGA
Kenya,SIAYA,40,"311,919",884,"284,031",713,"1,084","286,712","1,735",RAILA ODINGA
Kenya,KISUMU,46,"385,820","4,630","337,232","3,835","1,422","347,119","1,850",RAILA ODINGA
Kenya,HOMA BAY,41,"325,826",725,"303,447",557,937,"305,666","1,054",RAILA ODINGA
Kenya,MIGORI,42,"283,862","26,055","225,645","6,197","1,995","259,892","1,323",RAILA ODINGA
Kenya,KISII,43,"412,945","95,596","236,831","2,632","9,005","344,064","4,598",RAILA ODINGA
Kenya,NYAMIRA,45,"219,358","54,071","121,590","1,323","4,248","181,232","2,277",RAILA ODINGA
Kenya,NAIROBI,1,"1,728,801","659,490","691,156","22,061","25,769","1,398,476","12,187",RAILA ODINGA
